fpr,tpr,threshold
0.0055,0.7615,0.951839311474557
0.0055,0.7625,0.9517439224933161
0.0055,0.7635,0.9516937215686426
0.0055,0.7645,0.9516919361413997
0.0055,0.7755,0.9490981698547922
0.0065,0.7755,0.9485106267838275
0.0065,0.7775,0.9480298317601753
0.0065,0.7785,0.9478654207798304
0.007,0.7785,0.9470699701031616
0.007,0.7835,0.9456375083274989
0.0075,0.7835,0.9454702079954297
0.0075,0.7935,0.9433900340561586
0.008,0.7935,0.9430532853686614
0.008,0.824,0.9415167329094137
0.008,0.825,0.941516726693357
0.008,0.832,0.9412969602879571
0.008,0.833,0.9412935384048744
0.008,0.858,0.939799064504676
0.008,0.86,0.939785767916892
0.008,0.861,0.9395494136636171
0.008,0.865,0.9391341267260817
0.008,0.8665,0.9389966227337312
0.008,0.867,0.938945884933201
0.0085,0.867,0.9389307184925694
0.0085,0.898,0.9320164764407627
0.009,0.898,0.93195695321963
0.009,0.932,0.9251893734771351
0.0095,0.932,0.9250582570938256
0.0095,0.946,0.9217407843386857
0.01,0.946,0.921672731846522
0.01,0.9485,0.9188211197933617
0.0105,0.9485,0.9179748539620128
0.0105,0.951,0.9164703663060917
0.0115,0.951,0.913694072685925
0.0115,0.955,0.9093280645161508
0.0125,0.955,0.9084450864879058
0.0125,0.956,0.9070592674000046
0.013,0.956,0.9066556914731916
0.013,0.957,0.9044425979656716
0.0135,0.957,0.9018343179321711
0.0135,0.959,0.8950356416227712
0.014,0.959,0.8940641311203681
0.014,0.96,0.8896963069699846
0.015,0.96,0.8887079554382313
0.015,0.9605,0.8885140556421806
0.015,0.9665,0.8865497913113861
0.0155,0.9665,0.8835242118365825
0.0155,0.9675,0.8828458709372841
0.0155,0.97,0.8818431478286013
0.0155,0.972,0.8806360752932612
0.016,0.972,0.8680777281726585
0.016,0.9725,0.8672636719921447
0.0165,0.9725,0.8656443005697998
0.0165,0.973,0.8648750814835109
0.0195,0.973,0.8367120285646633
0.0195,0.9735,0.8332435607279255
0.02,0.9735,0.8314640019842214
0.02,0.975,0.8229330098442842
0.0205,0.975,0.8186267702421304
0.0205,0.98,0.7937277073578151
0.021,0.98,0.7905138426423505
0.021,0.9815,0.7886331367080679
0.0215,0.9815,0.7796606114320378
0.0215,0.982,0.770021867932097
0.022,0.982,0.7695390923790744
0.022,0.9835,0.76435693133395
0.0225,0.9835,0.7559420895782292
0.0225,0.9845,0.7538258321514897
0.0235,0.9845,0.7479776566206522
0.0235,0.9965,0.6877856562627784
0.024,0.9965,0.672257046383028
0.024,0.998,0.6592018203645774
0.0255,0.998,0.6310804475236835
0.0255,0.9985,0.5920038092621598
0.027,0.9985,0.5882772328988959
0.027,0.999,0.5566695672724842
0.0285,0.999,0.5251016035228366
0.0285,0.9995,0.5189699907896269
0.034,0.9995,0.45741702707712334
0.035,0.9995,0.4384383829084962
0.0395,0.9995,0.2354362800091579
0.0405,0.9995,0.16888745129940738
0.0455,0.9995,0.11236436822610511
0.0455,1.0,0.10949378366076451
0.054,1.0,0.0773567523862966
0.055,1.0,0.07734169150674719
0.09,1.0,0.07447578241638617
0.0915,1.0,0.07445183716405566
0.0925,1.0,0.07436753983406837
0.0935,1.0,0.07433812330372266
0.094,1.0,0.07432210630358095
0.096,1.0,0.07427717182340969
0.097,1.0,0.07413621391238565
0.098,1.0,0.07411117358625222
0.11,1.0,0.07097421373579846
0.111,1.0,0.07096864790940108
0.1135,1.0,0.07064010855959116
0.1145,1.0,0.0706265560643748
0.115,1.0,0.0704315699697793
0.116,1.0,0.07023593067229467
0.1175,1.0,0.0700191904048987
0.1185,1.0,0.06979385569675339
0.215,1.0,0.016821318698117347
0.217,1.0,0.016712897735775438
0.637,1.0,0.003938171996814384
0.6385,1.0,0.003937509793077993
0.6395,1.0,0.003937344259474218
0.641,1.0,0.003936847700251076
0.83,1.0,0.0020254229301835012
0.831,1.0,0.001990875866386335
0.947,1.0,0.0003657806904092441
0.948,1.0,0.00036357783740991064
1.0,1.0,1.634348131020079e-09
